Taxón,PNS NIEVES,PNS NEVADA,PN DOÑANA,Recolectada en sierra nevada,rbcl,trnH,MatK,ITS
Genista umbellata umbellata,0,1,0,S,1,1,1,1
Genista versicolor,0,1,0,S,1,1,1,1
Geum heterocarpum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Globularia alypum,0,1,1,N,#N/A,#N/A,#N/A,#N/A
Gnaphalium supinum,0,1,0,S,#N/A,#N/A,#N/A,#N/A
Halimione portulacoides,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Halimium atripicifolium atriplicifolium,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Halimium atriplicifolium atriplicifolium,0,1,1,S,1,1,1,1
Halimium calycinum,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Halimium halimifolium,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Halimium halimifolium halimifolium,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Halimium halimifolium multiflorum,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Halimium lasianthum lasianthum,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Halimium umbellatum viscosum,0,1,0,S,1,0,0,0
Hammada articulata,0,1,0,S,1,1,1,1
Haplophyllum linifolium,0,1,1,N,#N/A,#N/A,#N/A,#N/A
Haplophyllum rosmarinifolium,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Hedera helix,1,1,0,S,1,1,1,1
Hedysarum boveanum europaeum,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Hedysarum humile,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Helianthemum apenninum apenninum,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Helianthemum apenninum cavanillesianum,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Helianthemum apenninum estevei,0,1,0,S,1,0,1,0
Helianthemum apenninum stoechadifolium,0,1,1,N,#N/A,#N/A,#N/A,#N/A
Helianthemum apenninum suffruticosum,0,1,0,S,1,0,1,0
Helianthemum appenninum appenninum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Helianthemum appenninum stoechadifolium,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Helianthemum appenninum suffruticosum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Helianthemum asperum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Helianthemum cinereum cinereum,0,1,0,S,1,1,1,1
Helianthemum cinereum rotundifolium,1,1,0,S,1,1,1,1
Helianthemum hirtum,1,1,1,N,#N/A,#N/A,#N/A,#N/A
Helianthemum marifolium andalusicum,1,1,0,N,#N/A,#N/A,#N/A,#N/A
Helianthemum marifolium marifolium,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Helianthemum marifolium origanifolium,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Helianthemum neopiliferum,0,1,0,S,1,0,1,0
Helianthemum nummularium,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Helianthemum oelandicum incanum,0,1,0,S,1,1,1,1
Helianthemum pannosum,0,1,0,S,1,1,1,1
Helianthemum syriacum,1,1,1,S,1,0,1,0
Helianthemum violaceum,0,1,0,S,1,0,1,0
Helianthemum viscidulum,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Helichrysum italicum picardii,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Helichrysum italicum serotinum,1,1,0,S,1,1,1,1
Helichrysum stoechas,1,1,1,N,#N/A,#N/A,#N/A,#N/A
